seed_title,onet_code,onet_name
CAD Operator (Computer Aided Design Operator),17-3013.00,Mechanical Drafters
Plaster Mechanic,47-2161.00,Plasterers and Stucco Masons
Cytogenetics Technical Specialist,29-2011.01,Cytogenetic Technologists
Helicopter Mechanic,49-3011.00,Aircraft Mechanics and Service Technicians
Narcotics Detective,33-3021.00,Detectives and Criminal Investigators
Workers' Compensation Hearings Officer,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers"
Scarf and Anneal Operator,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
Lube Tech (Lubrication Technician),49-3023.00,Automotive Service Technicians and Mechanics
Aviation Electrical Technician,49-2091.00,Avionics Technicians
Petroleum Inspector,53-6051.00,Transportation Inspectors
Certified Diagnostic Ophthalmic Sonographer (CDOS),29-2099.05,Ophthalmic Medical Technologists
World Designer,15-1255.01,Video Game Designers
Gamemaster,15-1255.01,Video Game Designers
Psychiatry APRN (Psychiatry Advanced Practice Registered Nurse),29-1141.02,Advanced Practice Psychiatric Nurses
Oil Well Driller,47-5012.00,"Rotary Drill Operators, Oil and Gas"
Diet Clerk,29-2051.00,Dietetic Technicians
City Clerk,43-4031.00,"Court, Municipal, and License Clerks"
Calender Operator,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
Ward Clerk,43-6013.00,Medical Secretaries and Administrative Assistants
Movie Projectionist,39-3021.00,Motion Picture Projectionists
Chiropractor Assistant,31-9092.00,Medical Assistants
Registered Optician,29-2081.00,"Opticians, Dispensing"
Drop Crew Laborer,47-2061.00,Construction Laborers
Industrial Mechanic,49-9041.00,Industrial Machinery Mechanics
Fur Trapper,45-3031.00,Fishing and Hunting Workers
Fitness Director,11-9179.01,Fitness and Wellness Coordinators
Theatrical Agent,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
Structural Steel Fitter,51-2041.00,Structural Metal Fabricators and Fitters
Psychiatric Adult Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Keno Writer,39-3012.00,Gambling and Sports Book Writers and Runners
Pediatric Emergency Medicine Physician,29-1221.00,"Pediatricians, General"
Digital Media Planner,13-1161.01,Search Marketing Strategists
Doctor of Veterinary Medicine (DVM),29-1131.00,Veterinarians
Install and Repair Technician,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
Sheet Metal Layout Mechanic,47-2211.00,Sheet Metal Workers
Tax Professional,13-2082.00,Tax Preparers
Creative Director (CD Director),27-1011.00,Art Directors
Housekeeper,37-2012.00,Maids and Housekeeping Cleaners
Flight Test Instrument Technician,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
Butcher,51-3021.00,Butchers and Meat Cutters
Aviation Maintenance Technician (AMT),49-3011.00,Aircraft Mechanics and Service Technicians
Laser Engineer,17-2199.07,Photonics Engineers
Actuarial Assistant,43-9111.00,Statistical Assistants
Ophthalmic Medical Technologist (Ophthalmic Medical Tech),29-2099.05,Ophthalmic Medical Technologists
Substitute Crossing Guard,33-9091.00,Crossing Guards and Flaggers
Perfect Bind Machine Operator,51-9191.00,Adhesive Bonding Machine Operators and Tenders
Asbestos Abatement Worker,47-4041.00,Hazardous Materials Removal Workers
Claims Examiner,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
Surgical Critical Care Physician Assistant (Surgical Critical Care PA),29-1071.00,Physician Assistants
Investments Advisor,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
Hockey Player,27-2021.00,Athletes and Sports Competitors
Feeder,53-7063.00,Machine Feeders and Offbearers
Deputy Jailer,33-3012.00,Correctional Officers and Jailers
Biochemistry Professor,25-1052.00,"Chemistry Teachers, Postsecondary"
Instrument and Electrical Technician (I and E Technician),49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
International Travel Consultant,41-3041.00,Travel Agents
Horse Trainer,39-2011.00,Animal Trainers
Studio Model,41-9012.00,Models
Time Stamp Assembler,51-2061.00,Timing Device Assemblers and Adjusters
Biology Professor,25-1042.00,"Biological Science Teachers, Postsecondary"
Biological Science Technician,19-4021.00,Biological Technicians
Air Permitting and Enforcement Inspector,13-1041.01,Environmental Compliance Inspectors
Paraeducator,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
Academic Advisor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
Field Irrigation Worker,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Door Installer,49-9011.00,Mechanical Door Repairers
Parking Lot Attendant,53-6021.00,Parking Attendants
Certified Registered Central Service Technician (CRCST),31-9093.00,Medical Equipment Preparers
Fire Engineer,17-2111.02,Fire-Prevention and Protection Engineers
Hiker,53-6021.00,Parking Attendants
Energy Engineer,17-2199.03,"Energy Engineers, Except Wind and Solar"
Reservoir Engineer,17-2171.00,Petroleum Engineers
Construction Superintendent,11-9021.00,Construction Managers
Roll Off Truck Driver,53-7081.00,Refuse and Recyclable Material Collectors
Adapted Physical Education Specialist (APE Specialist),25-2059.01,Adapted Physical Education Specialists
Deputy Bailiff,33-3011.00,Bailiffs
Court of Appeals Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Farm Laborer,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
Prototype Sewer,51-6031.00,Sewing Machine Operators
Chemical Dependency Counselor (CD Counselor),21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Recycle Coordinator,53-1042.01,Recycling Coordinators
Funeral Pre-Need Consultant,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers"
Stone Breaker,47-5051.00,"Rock Splitters, Quarry"
Biofuels Production Manager,11-3051.03,Biofuels Production Managers
Podiatric Physician,29-1081.00,Podiatrists
Apprise Counselor,21-1094.00,Community Health Workers
Data Officer,15-1243.00,Database Architects
Education Site Manager,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
Emergency Clinical Nurse Specialist,29-1141.04,Clinical Nurse Specialists
Vice Principal,11-9032.00,"Education Administrators, Kindergarten through Secondary"
Steamfitter,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Deep Fat Fryer Operator,35-2011.00,"Cooks, Fast Food"
Civil Engineer,17-2051.00,Civil Engineers
Pediatric Nurse Practitioner (PNP),29-1171.00,Nurse Practitioners
Pediatric Neurologist,29-1217.00,Neurologists
Solar Maintenance Technician,47-2152.04,Solar Thermal Installers and Technicians
Field Service Technician (Field Service Tech),49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
Maintenance Machinist,51-4041.00,Machinists
Vending Technician,49-9091.00,"Coin, Vending, and Amusement Machine Servicers and Repairers"
Local Area Network Administrator (LAN Administrator),15-1244.00,Network and Computer Systems Administrators
Label Maker,53-7065.00,Stockers and Order Fillers
Optometry Doctor (OD),29-1041.00,Optometrists
Master Certified RV Technician (Master Certified Recreational Vehicle Technician),49-3092.00,Recreational Vehicle Service Technicians
Casino Shift Manager (CSM),39-1013.00,First-Line Supervisors of Gambling Services Workers
Parts Consultant,41-2022.00,Parts Salespersons
Spread Cutter,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
Power Tool Repair Technician,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
Business Development and New Technology Manager,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
Oncology Art Therapist,29-1129.01,Art Therapists
Football Referee,27-2023.00,"Umpires, Referees, and Other Sports Officials"
Tool Maker,51-4111.00,Tool and Die Makers
Market Research Consultant,13-1161.00,Market Research Analysts and Marketing Specialists
Acid Etch Operator,51-9194.00,Etchers and Engravers
Member Service Representative,43-4141.00,New Accounts Clerks
Coater Associate,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic"
Laundry Aide,51-6011.00,Laundry and Dry-Cleaning Workers
Oral Pathologist,29-1222.00,"Physicians, Pathologists"
Emergency Planner,11-9161.00,Emergency Management Directors
Pelletizer Operator,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Scribe,31-9094.00,Medical Transcriptionists
Histotechnologist,29-2011.04,Histotechnologists
Jailor,33-3012.00,Correctional Officers and Jailers
Fugitive Detective,33-3021.00,Detectives and Criminal Investigators
Header Set-Up Operator,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
Proofer,43-9081.00,Proofreaders and Copy Markers
Able Seaman,53-5011.00,Sailors and Marine Oilers
Electro Magnetic Compatibility Test Engineer,17-2072.01,Radio Frequency Identification Device Specialists
Cloth Cutter,51-9031.00,"Cutters and Trimmers, Hand"
Naturopathic Doctor,29-1299.01,Naturopathic Physicians
Ophthalmological Assistant,31-9092.00,Medical Assistants
School Adjustment Counselor,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
Information Center Supervisor,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers
Diamond Grader,51-9071.06,Gem and Diamond Workers
Judicial Law Clerk,23-1012.00,Judicial Law Clerks
Appellate Law Clerk,23-1012.00,Judicial Law Clerks
Boiler Technician,47-2011.00,Boilermakers
Barber Shop Operator,39-5011.00,Barbers
Computer Training Specialist,13-1151.00,Training and Development Specialists
Doctor of Physical Therapy (DPT),29-1123.00,Physical Therapists
Certified Orientation and Mobility Specialist (COMS),29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Painter Helper,47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons"
Jailer,33-3012.00,Correctional Officers and Jailers
Ladle Liner,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Scientific Research Associate,17-3026.01,Nanotechnology Engineering Technologists and Technicians
Sales Route Driver,53-3031.00,Driver/Sales Workers
Chainsaw Technician,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
District Court Judge,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
Ceramic Tile Setter,47-2044.00,Tile and Stone Setters
Fork Lift Technician,53-7051.00,Industrial Truck and Tractor Operators
Naturalist Guide,39-7012.00,Travel Guides
Dredger,53-7031.00,Dredge Operators
Certificate of Clinical Competence in Audiology Licensed Audiologist (CCC-A Licensed Audiologist),29-1181.00,Audiologists
Dispatcher (Dispatch),43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
Climate Advisor,19-2041.01,Climate Change Policy Analysts
Dye Tub Operator,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders
Air Pollution Control Engineer,17-2081.00,Environmental Engineers
Frontend Developer,15-1252.00,Software Developers
Anatomy Instructor,25-1042.00,"Biological Science Teachers, Postsecondary"
Direct Chill Caster (DC Caster),51-4052.00,"Pourers and Casters, Metal"
Computer Systems Consultant,15-1211.00,Computer Systems Analysts
Engineering Test Technician,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
Haz Tech (Hazardous Technician),17-3025.00,Environmental Engineering Technologists and Technicians
Structural Analysis Engineer,17-2011.00,Aerospace Engineers
Board Certified Music Therapist (MT-BC),29-1129.02,Music Therapists
Airline Pilot,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
Certified Optician,29-2081.00,"Opticians, Dispensing"
College President,11-9033.00,"Education Administrators, Postsecondary"
Chemical Pumper,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
Furnace Repairer,49-9045.00,"Refractory Materials Repairers, Except Brickmasons"
Special Education Director,11-9032.00,"Education Administrators, Kindergarten through Secondary"
Project Design Engineer,17-2199.06,Microsystems Engineers
Sensor Specialist,19-2099.01,Remote Sensing Scientists and Technologists
Aerospace Engineer,17-2011.00,Aerospace Engineers
Boning Room Worker,51-3023.00,Slaughterers and Meat Packers
Evidence Technician (Evidence Tech),19-4092.00,Forensic Science Technicians
Watch Repair Technician,49-9064.00,Watch and Clock Repairers
Dance Maker,27-2032.00,Choreographers
Dance Director,27-2032.00,Choreographers
Information Security Officer,15-1212.00,Information Security Analysts
Traffic Operations Engineer,17-2051.01,Transportation Engineers
Janitorial Supervisor,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Publications Designer,27-1024.00,Graphic Designers
Women's Ministries Director,21-2021.00,"Directors, Religious Activities and Education"
Garment Presser,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
Network and Security Engineer,15-1241.00,Computer Network Architects
Job Coach,21-1015.00,Rehabilitation Counselors
Bobcat Driver,53-7062.04,Recycling and Reclamation Workers
Pipe Welder,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
Screw Machine Tool Setter,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
Licensed Occupational Therapy Assistant (LOTA),31-2011.00,Occupational Therapy Assistants
Driver License Agent,13-1041.00,Compliance Officers
Clinical Program Coordinator,11-9121.01,Clinical Research Coordinators
Sand Molder,51-4071.00,Foundry Mold and Coremakers
Narcotics Investigator,33-3021.00,Detectives and Criminal Investigators
Water Taxi Operator,53-5022.00,Motorboat Operators
Recreation Clerk,39-3091.00,Amusement and Recreation Attendants
Database Administrator (DBA),15-1242.00,Database Administrators
Public Works Inspector,47-4011.00,Construction and Building Inspectors
Data Deliverables Manager,15-2051.02,Clinical Data Managers
Floor Layer,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
Production Truck Driver,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
Driving Instructor,25-3021.00,Self-Enrichment Teachers
Wood Fence Erector,47-4031.00,Fence Erectors
Attic Blower,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
Landscape Manager,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
Licensed Dental Hygienist,29-1292.00,Dental Hygienists
Coat Checker,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Training and Development Director,11-3131.00,Training and Development Managers
Order Entry Administrator (Order Entry Admin),43-4151.00,Order Clerks
Pest Technician,37-2021.00,Pest Control Workers
Casting Director,27-2012.04,Talent Directors
Registered Electroencephalogram Technologist (Registered EEG Tech),29-2099.01,Neurodiagnostic Technologists
Mobile Home Laborer,49-9095.00,Manufactured Building and Mobile Home Installers
Global Regulatory Affairs Director (Global RA Director),11-9199.01,Regulatory Affairs Managers
Extruder,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
Human Resources Operations Manager,11-3121.00,Human Resources Managers
ESL Instructor (English as a Second Language Instructor),25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
